time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,1.907377737087045673e-04,1.907377737087045673e-04,5.494505494507251342e-03,5.494505494507251342e-03,2.930402930402919992e-03,2.930402930402919992e-03
3.620862960815429688e-03,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03
6.954908370971679688e-03,5.722133211261137831e-04,1.907377737087045673e-04,1.144182218560518410e-01,0.000000000000000000e+00,1.465201465201459996e-02,2.930402930402919992e-03
1.028919219970703125e-02,1.907377737087045673e-04,1.907377737087045673e-04,-1.144100403600306765e-01,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03
1.362323760986327952e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.637362637362627993e-02,8.791208791208759976e-03
1.695775985717773438e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.051282051282043994e-02,1.465201465201459996e-02
2.029204368591308247e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.465201465201459996e-02,8.791208791208759976e-03
2.362632751464844097e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03
2.696061134338378906e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.465201465201459996e-02,8.791208791208759976e-03
3.029465675354003906e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03
3.362894058227539062e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,1.465201465201459996e-02
3.696322441101073525e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03
4.029774665832520225e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03
4.363179206848144531e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03
4.696583747863769531e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03
5.029988288879394531e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03
5.363392829895020225e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03
5.696797370910644531e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03
6.030178070068359375e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03
6.363582611083984375e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03
6.696987152099609375e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03
7.030367851257324219e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03
7.363724708557128906e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03
7.697081565856932206e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03
8.030438423156738281e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.930402930402919992e-03,-2.930402930402919992e-03
8.363795280456544357e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03
8.697152137756347656e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.930402930402919992e-03,-2.930402930402919992e-03
9.030508995056152344e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03
9.363865852355955643e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.930402930402919992e-03,2.930402930402919992e-03
9.697222709655760331e-02,1.907377737087045673e-04,1.907377737087045673e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03
