time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2
5.659461021423339844e-02,4.005493247882796481e-03,4.386968795300205670e-03,0.000000000000000000e+00,3.814577218822336468e-01,4.005493247882796481e-03,4.386968795300205670e-03,0.000000000000000000e+00,3.814577218822336468e-01,1.633628179866692537e-02,1.633628179866692537e-02,3.141592653589792006e-01,3.141592653589792006e-01,5.896585021986933128e-01,2.005534438329359403e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.186813186813186149e-01,4.307692307692310152e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.859470367431640625e-02,4.005493247882796481e-03,4.386968795300205670e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.005493247882796481e-03,4.386968795300205670e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.696460032938488377e-02,1.696460032938488377e-02,3.141592653589792006e-01,3.141592653589792006e-01,6.022254599300325140e-01,5.945959489816843302e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.835164835164835750e-01,4.249084249084251752e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.059479713439941406e-02,4.005493247882796481e-03,4.386968795300205670e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.005493247882796481e-03,4.386968795300205670e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.759291886010284217e-02,1.759291886010284217e-02,3.141592653589792006e-01,3.141592653589792006e-01,6.147924176809915764e-01,6.071629067326433926e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.362637362637361349e-01,3.721611721611726153e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.259489059448242188e-02,4.005493247882796481e-03,4.386968795300205670e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.005493247882796481e-03,4.386968795300205670e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.822123739082080057e-02,1.822123739082080057e-02,3.141592653589792006e-01,3.141592653589792006e-01,6.273593754521300525e-01,6.197298645037818687e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.538461538461536549e-01,4.366300366300368552e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.459498405456542969e-02,4.005493247882796481e-03,4.768444342717614859e-03,0.000000000000000000e+00,1.907288609411168234e-01,4.005493247882796481e-03,4.768444342717614859e-03,0.000000000000000000e+00,1.907288609411168234e-01,1.884955592153875897e-02,1.884955592153875897e-02,3.141592653589792006e-01,3.141592653589792006e-01,6.399263332444604657e-01,4.339295376390595038e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.772893772893770148e-01,4.659340659340660551e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.659507751464843750e-02,4.005493247882796481e-03,5.149919890135024048e-03,0.000000000000000000e+00,1.907288609411168234e-01,4.005493247882796481e-03,5.149919890135024048e-03,0.000000000000000000e+00,1.907288609411168234e-01,1.947787445225671737e-02,1.947787445225671737e-02,3.141592653589792006e-01,3.141592653589792006e-01,6.524932910587732948e-01,4.388669845050241491e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.890109890109886948e-01,5.245421245421244549e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.859540939331054688e-02,4.005493247882796481e-03,5.149919890135024048e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.005493247882796481e-03,5.149919890135024048e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.010619298297467578e-02,2.010619298297467578e-02,3.141592653589792006e-01,3.141592653589792006e-01,6.650991976262687899e-01,6.422106647812242386e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.124542124542120547e-01,4.952380952380952550e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.059550285339355469e-02,4.005493247882796481e-03,5.531395437552433236e-03,0.000000000000000000e+00,1.907288609411168234e-01,4.005493247882796481e-03,5.531395437552433236e-03,0.000000000000000000e+00,1.907288609411168234e-01,2.073451151369263418e-02,2.073451151369263418e-02,3.141592653589792006e-01,3.141592653589792006e-01,6.776287047839080202e-01,4.563728872818106908e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.300366300366295746e-01,4.717948717948718951e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.259583473205566406e-02,4.005493247882796481e-03,5.531395437552433236e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.005493247882796481e-03,5.531395437552433236e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.136283004441059258e-02,2.136283004441059258e-02,3.141592653589792006e-01,3.141592653589792006e-01,6.902346113992940957e-01,6.597165676059013606e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.417582417582412546e-01,5.304029304029302949e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.459592819213867188e-02,4.386968795300205670e-03,5.912870984969842425e-03,1.907288609411168234e-01,1.907288609411168234e-01,4.386968795300205670e-03,5.912870984969842425e-03,1.907288609411168234e-01,1.907288609411168234e-01,2.199114857512855098e-02,2.199114857512855098e-02,3.141592653589792006e-01,3.141592653589792006e-01,5.043968339491211594e-01,4.738787901557284243e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.652014652014646146e-01,5.010989010989010950e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.659602165222167969e-02,4.386968795300205670e-03,6.294346532387251614e-03,0.000000000000000000e+00,1.907288609411168234e-01,4.386968795300205670e-03,6.294346532387251614e-03,0.000000000000000000e+00,1.907288609411168234e-01,2.261946710584650938e-02,2.261946710584650938e-02,3.141592653589792006e-01,3.141592653589792006e-01,7.077015655931528926e-01,4.788162371427073793e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.710622710622704545e-01,5.538461538461536549e-01,0.000000000000000000e+00,0.000000000000000000e+00
