time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
5.362800000001957557e+01,-8.404769868758773299e+00,7.497079464867857368e-01,-4.830519491417883393e-01,2.079897888603298384e+01,0.000000000000000000e+00,3.952963932482691511e-01
5.363000000001957801e+01,-8.405316040903553443e+00,7.907709399149607243e-01,-6.206059305247352276e-02,2.026368021880050918e+01,0.000000000000000000e+00,1.054684167879003098e+00
5.363200000001958045e+01,-8.405053748110242751e+00,8.308445155733902299e-01,3.257320943262150270e-01,1.980897750800660617e+01,0.000000000000000000e+00,2.750927498294050810e+00
5.363400000001958290e+01,-8.404106610908964825e+00,8.702103044798067399e-01,6.238489569878568064e-01,1.955410980266460896e+01,0.000000000000000000e+00,2.878463024136173498e+00
5.363600000001958534e+01,-8.402556080216362133e+00,9.090657853993188153e-01,9.290681586256752666e-01,1.929878608880294166e+01,0.000000000000000000e+00,3.058413418936092754e+00
5.363800000001958779e+01,-8.400390937475874509e+00,9.474162964382449870e-01,1.238449633192594490e+00,1.904917717103234409e+01,0.000000000000000000e+00,3.404488138611678760e+00
5.364000000001959023e+01,-8.397611475357177113e+00,9.852914573150806099e-01,1.543494110984788836e+00,1.882328526113026967e+01,0.000000000000000000e+00,1.823875817155214296e+00
5.364200000001959268e+01,-8.394125414323255541e+00,1.022527035364116488e+00,1.943909590683800648e+00,1.841136832831599079e+01,0.000000000000000000e+00,2.315192651142720326e+00
5.364400000001959512e+01,-8.389855388990946850e+00,1.058985450205408796e+00,2.327677763516613929e+00,1.804573696137057937e+01,0.000000000000000000e+00,9.176582222651639142e-01
5.364600000001959756e+01,-8.384740136273892475e+00,1.094560698028222090e+00,2.788207411299872263e+00,1.752952708770753176e+01,0.000000000000000000e+00,1.261242006066733534e+00
5.364800000001960001e+01,-8.378716547511192658e+00,1.129138140139294588e+00,3.236155995364150328e+00,1.704761325306599318e+01,0.000000000000000000e+00,-6.805428597135205759e-01
5.365000000001960245e+01,-8.371702159539102794e+00,1.162559216719786237e+00,3.777862798932233090e+00,1.637465252159983464e+01,0.000000000000000000e+00,-1.188457857608119950e+00
5.365200000001960490e+01,-8.363583538150761498e+00,1.194592424407447506e+00,4.340097786061450691e+00,1.565993787646810453e+01,0.000000000000000000e+00,-1.262447558656199176e+00
5.365400000001960734e+01,-8.354341151990265502e+00,1.225197134650432895e+00,4.901575505137053312e+00,1.494599694505643050e+01,0.000000000000000000e+00,-9.589087441615592455e-01
5.365600000001960979e+01,-8.343993310895655213e+00,1.254408808178283818e+00,5.445681264142774758e+00,1.426651065304555921e+01,0.000000000000000000e+00,-2.169274754688034879e+00
5.365800000001961223e+01,-8.332509312446937599e+00,1.282157025201134726e+00,6.037132555318702742e+00,1.348305393385004081e+01,0.000000000000000000e+00,-2.178896482756082165e+00
5.366000000001961467e+01,-8.319849147935308054e+00,1.308345071027185114e+00,6.621825532799318736e+00,1.270610328595968319e+01,0.000000000000000000e+00,-2.151434372463474354e-01
5.366200000001961712e+01,-8.306107407455684211e+00,1.333156351714027243e+00,7.119527992364376168e+00,1.210512785020268822e+01,0.000000000000000000e+00,-8.957260269695465071e-01
5.366400000001961956e+01,-8.291345274565589563e+00,1.356706887566524689e+00,7.641869659797823289e+00,1.144555922306673601e+01,0.000000000000000000e+00,-2.121262207577165437e+00
5.366600000001962201e+01,-8.275494368573628634e+00,1.378835535939516133e+00,8.207746977771234853e+00,1.068361229495199183e+01,0.000000000000000000e+00,-1.829162858232934896e+00
5.366800000001962445e+01,-8.258530961934862802e+00,1.399467378749571278e+00,8.754432466047834538e+00,9.948471609627636880e+00,0.000000000000000000e+00,5.061914402879219566e-02
5.367000000001962690e+01,-8.240554156588137502e+00,1.418784517949119417e+00,9.221787468246068542e+00,9.368129889451992653e+00,0.000000000000000000e+00,-2.981870085866708542e-01
5.367200000001962934e+01,-8.221633038805022053e+00,1.436909313412293887e+00,9.698534869813897785e+00,8.756178163568524297e+00,0.000000000000000000e+00,-9.689996052134570714e-01
5.367400000001963178e+01,-8.201738124660440832e+00,1.453753295095303155e+00,1.019526429538242063e+01,8.087442911927396949e+00,0.000000000000000000e+00,-1.167561278954295512e+00
5.367600000001963423e+01,-8.180849209624032170e+00,1.469241699288911018e+00,1.069238874724417698e+01,7.400572417958680482e+00,0.000000000000000000e+00,-2.327829815877368702e+00
5.367800000001963667e+01,-8.158931010133354533e+00,1.483262493511846580e+00,1.122408924973430011e+01,6.620019456579273154e+00,0.000000000000000000e+00,-2.201185997842848074e+00
5.368000000001963912e+01,-8.135964498235546571e+00,1.495730637479646630e+00,1.174067581538752947e+01,5.847787847559010821e+00,0.000000000000000000e+00,-2.072188523788246695e+00
5.368200000001964156e+01,-8.111980103331575265e+00,1.506662112233731365e+00,1.224194684722176696e+01,5.083234331533407868e+00,0.000000000000000000e+00,-2.534291616153082849e+00
5.368400000001964401e+01,-8.086987281708898578e+00,1.516025972438725056e+00,1.274890513275010662e+01,4.280159649400234301e+00,0.000000000000000000e+00,-2.942028741638215816e+00
5.368600000001964645e+01,-8.060977860934006145e+00,1.523749428905211589e+00,1.325838061354480857e+01,3.442790155611366476e+00,0.000000000000000000e+00,-3.301796002179843814e+00
