time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.721799999999579356e+01,-9.276701573806544587e+00,-2.672740477998322817e+01,4.119429332980995562e-01,6.355995170409251216e+00,0.000000000000000000e+00,8.655725964299806896e-02
2.721999999999579245e+01,-9.275920853677943612e+00,-2.671470773727570602e+01,3.690017876635937610e-01,6.340893630794004920e+00,0.000000000000000000e+00,8.938978855065475571e-02
2.722199999999579134e+01,-9.275224774327428534e+00,-2.670204160629009849e+01,3.272985655339225031e-01,6.325086069110862574e+00,0.000000000000000000e+00,9.228513265362310591e-02
2.722399999999579023e+01,-9.274610884453117876e+00,-2.668940777713605428e+01,2.868087181335388092e-01,6.308594396880891075e+00,0.000000000000000000e+00,9.523954872210305123e-02
2.722599999999578912e+01,-9.274076781777301548e+00,-2.667680759642528443e+01,2.475077735814402158e-01,6.291440202080781141e+00,0.000000000000000000e+00,9.824915278997398138e-02
2.722799999999578802e+01,-9.273620112864438880e+00,-2.666424236792514080e+01,2.093713648455557963e-01,6.273644742628719406e+00,0.000000000000000000e+00,1.013099381277615119e-01
2.722999999999578691e+01,-9.273238572885192710e+00,-2.665171335322449053e+01,1.723752557573604571e-01,6.255228940614554922e+00,0.000000000000000000e+00,1.044177927168609271e-01
2.723199999999578580e+01,-9.272929905330325795e+00,-2.663922177241038369e+01,1.364953651558859227e-01,6.236213377242005862e+00,0.000000000000000000e+00,1.075685161918648186e-01
2.723399999999578469e+01,-9.272691901678109971e+00,-2.662676880475418173e+01,1.017077892313879850e-01,6.216618288451543073e+00,0.000000000000000000e+00,1.107578362122237647e-01
2.723599999999578358e+01,-9.272522401018802540e+00,-2.661435558940576129e+01,6.798882213990170564e-02,6.196463561192792291e+00,0.000000000000000000e+00,1.139814242387954535e-01
2.723799999999578247e+01,-9.272419289639552531e+00,-2.660198322609456056e+01,3.531497496009727149e-02,6.175768730316268496e+00,0.000000000000000000e+00,1.172349106886393100e-01
2.723999999999578137e+01,-9.272380500572994677e+00,-2.658965277583624953e+01,3.662993063881250788e-03,6.154552976054777247e+00,0.000000000000000000e+00,1.205138994497110677e-01
2.724199999999578026e+01,-9.272404013112629073e+00,-2.657736526164387314e+01,-2.699012802827666438e-02,6.132835122065711353e+00,0.000000000000000000e+00,1.238139817397404668e-01
2.724399999999577915e+01,-9.272487852297947697e+00,-2.656512166924236240e+01,-5.666712823703085045e-02,6.110633634006247483e+00,0.000000000000000000e+00,1.271307492956645635e-01
2.724599999999577804e+01,-9.272630088372123325e+00,-2.655292294778540096e+01,-8.539046988951672079e-02,6.087966618614155223e+00,0.000000000000000000e+00,1.304598068869304295e-01
2.724799999999577693e+01,-9.272828836214950243e+00,-2.654077001057364527e+01,-1.131823259923053215e-01,6.064851823267864539e+00,0.000000000000000000e+00,1.337967841457720630e-01
2.724999999999577582e+01,-9.273082254753578724e+00,-2.652866373577336745e+01,-1.400645697452126415e-01,6.041306636000141950e+00,0.000000000000000000e+00,1.371373467134142932e-01
2.725199999999577471e+01,-9.273388546353464434e+00,-2.651660496713463644e+01,-1.660587652308166406e-01,6.017348085940603220e+00,0.000000000000000000e+00,1.404772067048421502e-01
2.725399999999577361e+01,-9.273745956191817186e+00,-2.650459451470821293e+01,-1.911861592162975854e-01,5.992992844163266497e+00,0.000000000000000000e+00,1.438121324911076360e-01
2.725599999999577250e+01,-9.274152771615717938e+00,-2.649263315556036957e+01,-2.154676740058386608e-01,5.968257224915770820e+00,0.000000000000000000e+00,1.471379578098727936e-01
2.725799999999577139e+01,-9.274607321486929123e+00,-2.648072163448489036e+01,-2.389239012838939580e-01,5.943157187208049308e+00,0.000000000000000000e+00,1.504505902108149717e-01
2.725999999999577028e+01,-9.275107975515343384e+00,-2.646886066471154564e+01,-2.615750968915162566e-01,5.917708336738902730e+00,0.000000000000000000e+00,1.537460188452280940e-01
2.726199999999576917e+01,-9.275653143582861304e+00,-2.645705092861041052e+01,-2.834411764798950850e-01,5.891925928139572832e+00,0.000000000000000000e+00,1.570203216161861204e-01
