time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,5.494505494507251342e-03,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,-3.141592653589793116e-01,3.141592653589793116e-01,-3.814755983162498865e-03,-3.814756467379609717e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.298044204711914062e-03,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.156672026628373512e-01,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.156672026628373512e-01,-6.283185307179586180e-04,6.283185307179586180e-04,-3.141592653589793116e-01,3.141592653589793116e-01,-2.453697863256998346e-02,9.277955862749820426e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.217956542968750000e-03,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.256637061435917236e-03,1.256637061435917236e-03,-3.141592653589793116e-01,3.141592653589793116e-01,-5.015420817869742365e-01,4.862830713749488609e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.465201465201459996e-02,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.973598480224609375e-03,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.884955592153875854e-03,1.884955592153875854e-03,-3.141592653589793116e-01,3.141592653589793116e-01,-4.930527572265841485e-01,4.777937448662861186e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.791208791208759976e-03,1.465201465201459996e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.150155067443847656e-02,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.513274122871834472e-03,2.513274122871834472e-03,-3.141592653589792006e-01,3.141592653589792006e-01,-4.731709288172059047e-01,4.579119146216381608e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.553113553113547596e-01,1.435897435897430796e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.378440856933593750e-02,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.141592653589792873e-03,3.141592653589792873e-03,-3.141592653589794226e-01,3.141592653589794226e-01,-4.490152260846791421e-01,4.337562103484327025e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.256410256410248394e-01,2.139194139194131594e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.578450202941894531e-02,-1.907377737087045944e-04,9.536888685435229718e-04,-1.907288609411168234e-01,1.907288609411168234e-01,-1.907377737087045944e-04,9.536888685435229718e-04,-1.907288609411168234e-01,1.907288609411168234e-01,-3.769911184307751708e-03,3.769911184307751708e-03,-3.141592653589794226e-01,3.141592653589794226e-01,-2.187983662136527840e-01,2.035393491678760824e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.490842490842481993e-01,2.549450549450558157e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.778459548950195312e-02,-5.722133211261137831e-04,9.536888685435229718e-04,-1.907288609411168234e-01,0.000000000000000000e+00,-5.722133211261137831e-04,9.536888685435229718e-04,-1.907288609411168234e-01,0.000000000000000000e+00,-4.398229715025710543e-03,4.398229715025710543e-03,-3.141592653589792006e-01,3.141592653589792006e-01,-2.237358133211220235e-01,4.068440803815143170e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.549450549450558157e-01,2.783882783882791756e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.978468894958496094e-02,-9.536888685435229718e-04,1.335164415960932160e-03,-1.907288609411168234e-01,1.907288609411168234e-01,-9.536888685435229718e-04,1.335164415960932160e-03,-1.907288609411168234e-01,1.907288609411168234e-01,-5.026548245743668944e-03,5.026548245743668944e-03,-3.141592653589792006e-01,3.141592653589792006e-01,-2.286732604253760570e-01,2.210437532327436116e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.256410256410248394e-01,2.432234432234423593e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.178478240966796875e-02,-1.716639963378341349e-03,1.335164415960932160e-03,-3.814577218822336468e-01,0.000000000000000000e+00,-1.716639963378341349e-03,1.335164415960932160e-03,-3.814577218822336468e-01,0.000000000000000000e+00,-5.654866776461627345e-03,5.654866776461627345e-03,-3.141592653589792006e-01,3.141592653589792006e-01,-3.524342286882919950e-02,4.243484844543221612e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.846153846153839595e-01,2.783882783882791756e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.378487586975097656e-02,-2.479591058213159727e-03,1.716639963378341349e-03,-3.814577218822336468e-01,1.907288609411168234e-01,-2.479591058213159727e-03,1.716639963378341349e-03,-3.814577218822336468e-01,1.907288609411168234e-01,-6.283185307179585746e-03,6.283185307179585746e-03,-3.141592653589796447e-01,3.141592653589796447e-01,-3.255135901601313719e-02,2.385481573150727286e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.846153846153839595e-01,2.490842490842481993e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.578496932983398438e-02,-3.242542153047978104e-03,2.479591058213159727e-03,-3.814577218822336468e-01,3.814577218822336468e-01,-3.242542153047978104e-03,2.479591058213159727e-03,-3.814577218822336468e-01,3.814577218822336468e-01,-6.911503837897545015e-03,6.911503837897545015e-03,-3.141592653589792006e-01,3.141592653589792006e-01,-2.985929515858742889e-02,4.511831923295517299e-02,0.000000000000000000e+00,0.000000000000000000e+00,-1.494505494505489196e-01,2.901098901098908556e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.778506278991699219e-02,-4.005493247882796481e-03,2.479591058213159727e-03,-3.814577218822336468e-01,0.000000000000000000e+00,-4.005493247882796481e-03,2.479591058213159727e-03,-3.814577218822336468e-01,0.000000000000000000e+00,-7.539822368615503416e-03,7.539822368615503416e-03,-3.141592653589796447e-01,3.141592653589796447e-01,-2.716723129533527015e-02,4.391608241808242497e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.377289377289372396e-01,2.608058608058616556e-01,0.000000000000000000e+00,0.000000000000000000e+00
